کلید واحد,تعداد سکنه,نام مالک,موبایل مالک,نام مستاجر (اختیاری),موبایل مستاجر (اختیاری)
شرقی-101,3,,,,
شرقی-102,3,,,,
شرقی-103,3,,,,
شرقی-104,3,,,,
شرقی-201,3,,,,
شرقی-202,3,,,,
شرقی-203,3,,,,
شرقی-204,3,,,,
شرقی-301,3,,,,
شرقی-302,3,,,,
شرقی-303,3,,,,
شرقی-304,3,,,,
شرقی-401,3,,,,
شرقی-402,3,,,,
شرقی-403,3,,,,
شرقی-404,3,,,,
شرقی-501,3,,,,
شرقی-502,3,,,,
شرقی-503,3,,,,
شرقی-504,3,,,,
غربی-101,3,,,,
غربی-102,3,,,,
غربی-103,3,,,,
غربی-104,3,,,,
غربی-201,3,,,,
غربی-202,3,,,,
غربی-203,3,,,,
غربی-204,3,,,,
غربی-301,3,,,,
غربی-302,3,,,,
غربی-303,3,,,,
غربی-304,3,,,,
غربی-401,3,,,,
غربی-402,3,,,,
غربی-403,3,,,,
غربی-404,3,,,,
غربی-501,3,,,,
غربی-502,3,,,,
غربی-503,3,,,,
غربی-504,3,,,,
